M,RC Mean Loss,RC Mean Acc,RC Mean ROC AUC,RC Std Loss,RC Std Acc,RC Std ROC AUC,OC Loss,OC Acc,OC ROC AUC
16,0.6590405424435933,0.6174153645833333,0.6689081288530794,0.005319953495961597,0.010923185688743927,0.011560830585011155,0.6589635729789733,0.6193359375,0.6630993255203564
32,0.6590405424435933,0.6174153645833333,0.6689081288530794,0.005319953495961597,0.010923185688743927,0.011560830585011155,0.6621480345726013,0.6150390625,0.658616782640542
64,0.6590405424435933,0.6174153645833333,0.6689081288530794,0.005319953495961597,0.010923185688743927,0.011560830585011155,0.6593244791030883,0.6169921875,0.6669649942013063
128,0.6590405424435933,0.6174153645833333,0.6689081288530794,0.005319953495961597,0.010923185688743927,0.011560830585011155,0.6610957741737366,0.621875,0.665183040346701
256,0.6590405424435933,0.6174153645833333,0.6689081288530794,0.005319953495961597,0.010923185688743927,0.011560830585011155,0.6568689346313477,0.63046875,0.6717225935420863
512,0.6590405424435933,0.6174153645833333,0.6689081288530794,0.005319953495961597,0.010923185688743927,0.011560830585011155,0.6597105264663696,0.6203125,0.6652772691204298
1024,0.6590405424435933,0.6174153645833333,0.6689081288530794,0.005319953495961597,0.010923185688743927,0.011560830585011155,0.658402943611145,0.6232421875,0.6648683086125862
2048,0.6590405424435933,0.6174153645833333,0.6689081288530794,0.005319953495961597,0.010923185688743927,0.011560830585011155,0.656502652168274,0.62265625,0.673332112555698
4096,0.6590405424435933,0.6174153645833333,0.6689081288530794,0.005319953495961597,0.010923185688743927,0.011560830585011155,0.6519062399864197,0.6236328125,0.6770283983397425
8192,0.6590405424435933,0.6174153645833333,0.6689081288530794,0.005319953495961597,0.010923185688743927,0.011560830585011155,0.649159574508667,0.6244140625,0.6758690410791675
9216,0.6590405424435933,0.6174153645833333,0.6689081288530794,0.005319953495961597,0.010923185688743927,0.011560830585011155,0.6474906086921692,0.6345703125,0.684094030397363
